model,sb,day,time,trial,acc
ecnn0,1,1,AM,1,0.9847058823529412
ecnn0,1,1,AM,2,0.9882894186532832
ecnn0,1,1,AM,3,0.7890749601275917
ecnn0,1,1,AM,4,0.9846217788861179
ecnn0,1,1,AM,5,0.9896373056994818
ecnn0,1,1,AM,6,0.9910941475826972
ecnn0,1,1,AM,7,0.9869174161896974
ecnn0,1,1,AM,8,0.9932346723044396
ecnn0,1,1,AM,9,0.8255528255528255
ecnn0,1,1,AM,10,0.9808006535947712
ecnn0,1,1,AM,11,0.9919710959454034
ecnn0,1,1,AM,12,0.9954147561483953
ecnn0,1,1,PM,1,0.987063896511172
ecnn0,1,1,PM,2,0.98452530322041
ecnn0,1,1,PM,3,0.77265625
ecnn0,1,1,PM,4,0.986782321354812
ecnn0,1,1,PM,5,0.9832602630530092
ecnn0,1,1,PM,6,0.9885151763740772
ecnn0,1,1,PM,7,0.9848424411647388
ecnn0,1,1,PM,8,0.9891304347826086
ecnn0,1,1,PM,9,0.7604623355918693
ecnn0,1,1,PM,10,0.9767346938775512
ecnn0,1,1,PM,11,0.9903769045709704
ecnn0,1,1,PM,12,0.981403212172443
ecnn0,1,2,AM,1,0.7206658546488023
ecnn0,1,2,AM,2,0.7210855949895616
ecnn0,1,2,AM,3,0.7426500201369312
ecnn0,1,2,AM,4,0.6825528387898881
ecnn0,1,2,AM,5,0.7001219016659894
ecnn0,1,2,AM,6,0.71571072319202
ecnn0,1,2,AM,7,0.722531847133758
ecnn0,1,2,AM,8,0.6770057899090157
ecnn0,1,2,AM,9,0.7253886010362695
ecnn0,1,2,AM,10,0.6670912951167728
ecnn0,1,2,AM,11,0.7063048683160414
ecnn0,1,2,AM,12,0.6949711459192086
ecnn0,1,2,PM,1,0.6047734627831716
ecnn0,1,2,PM,2,0.6665278934221482
ecnn0,1,2,PM,3,0.6704316256555063
ecnn0,1,2,PM,4,0.6779661016949152
ecnn0,1,2,PM,5,0.6277551020408163
ecnn0,1,2,PM,6,0.6244725738396625
ecnn0,1,2,PM,7,0.6442348906986712
ecnn0,1,2,PM,8,0.707357172215372
ecnn0,1,2,PM,9,0.6678787878787878
ecnn0,1,2,PM,10,0.7108829568788501
ecnn0,1,2,PM,11,0.6960823110407598
ecnn0,1,2,PM,12,0.7528925619834711
ecnn0,1,3,AM,1,0.6632316570486397
ecnn0,1,3,AM,2,0.5954807266282676
ecnn0,1,3,AM,3,0.6669294442254632
ecnn0,1,3,AM,4,0.5857885615251299
ecnn0,1,3,AM,5,0.7242497972424979
ecnn0,1,3,AM,6,0.6265769554247267
ecnn0,1,3,AM,7,0.6863468634686347
ecnn0,1,3,AM,8,0.6610824742268041
ecnn0,1,3,AM,9,0.6990049751243781
ecnn0,1,3,AM,10,0.7003140421713773
ecnn0,1,3,AM,11,0.6937119675456389
ecnn0,1,3,AM,12,0.6887931034482758
ecnn0,1,3,PM,1,0.472734899328859
ecnn0,1,3,PM,2,0.506872852233677
ecnn0,1,3,PM,3,0.5426195426195426
ecnn0,1,3,PM,4,0.5283824157063594
ecnn0,1,3,PM,5,0.4810281517747858
ecnn0,1,3,PM,6,0.5434317501069748
ecnn0,1,3,PM,7,0.4803921568627451
ecnn0,1,3,PM,8,0.5788146279949559
ecnn0,1,3,PM,9,0.5172117039586919
ecnn0,1,3,PM,10,0.5224454895254382
ecnn0,1,3,PM,11,0.4603434178250204
ecnn0,1,3,PM,12,0.4736842105263158
ecnn0,1,4,AM,1,0.6959737058340181
ecnn0,1,4,AM,2,0.6536912751677852
ecnn0,1,4,AM,3,0.6298755186721992
ecnn0,1,4,AM,4,0.6571184266780675
ecnn0,1,4,AM,5,0.7282174260591526
ecnn0,1,4,AM,6,0.7271164589600344
ecnn0,1,4,AM,7,0.7260726072607261
ecnn0,1,4,AM,8,0.6670945656824989
ecnn0,1,4,AM,9,0.7308160779537151
ecnn0,1,4,AM,10,0.7121019108280254
ecnn0,1,4,AM,11,0.6501457725947521
ecnn0,1,4,AM,12,0.6475272422464375
ecnn0,1,4,PM,1,0.7383292383292384
ecnn0,1,4,PM,2,0.6953586497890295
ecnn0,1,4,PM,3,0.7082251082251082
ecnn0,1,4,PM,4,0.6979726934215971
ecnn0,1,4,PM,5,0.7127094401307724
ecnn0,1,4,PM,6,0.6494719740048741
ecnn0,1,4,PM,7,0.7038854805725971
ecnn0,1,4,PM,8,0.6911643270024773
ecnn0,1,4,PM,9,0.711593609176567
