window,actual,predict,entropy,un_prob,overall
1,0,0,0.021845391,0.0074279904,0.021845391
2,0,0,0.056532048,0.022802174,0.056532048
3,0,0,0.050132103,0.02041471,0.050132103
4,0,0,0.13505968,0.07803947,0.13505968
5,0,0,0.089150354,0.043263555,0.089150354
6,0,0,0.117648594,0.06437248,0.117648594
7,0,0,0.080263376,0.03921944,0.080263376
8,0,0,0.14226843,0.086762905,0.14226843
9,0,0,0.16420376,0.10555363,0.16420376
10,0,0,0.1909516,0.13274366,0.1909516
11,1,0,0.049344275,0.021104813,0.049344275
12,1,0,0.12711377,0.07393992,0.12711377
13,1,0,0.22871627,0.18026775,0.22871627
14,1,0,0.16548875,0.10848832,0.16548875
15,1,0,0.17544614,0.11886978,0.17544614
16,1,0,0.14734593,0.09155691,0.14734593
17,1,0,0.16116981,0.104602456,0.16116981
18,1,0,0.22385637,0.17597508,0.22385637
19,1,0,0.27433637,0.25676352,0.27433637
20,1,0,0.14508544,0.08951837,0.14508544
21,1,0,0.057871558,0.025894284,0.057871558
22,1,0,0.12489876,0.0719865,0.12489876
23,1,0,0.04179491,0.01713574,0.04179491
24,1,0,0.09497198,0.048110485,0.09497198
25,1,0,0.13174796,0.075920105,0.13174796
26,1,0,0.101616375,0.049411416,0.101616375
27,1,0,0.0760028,0.036069155,0.0760028
28,1,0,0.17274353,0.115195155,0.17274353
29,1,0,0.334183,0.3979442,0.3979442
30,1,0,0.3433692,0.48110008,0.48110008
31,1,0,0.37324718,0.48607045,0.48607045
32,1,0,0.0146302795,0.004553795,0.0146302795
33,1,0,0.003990842,0.0010058284,0.003990842
34,1,0,0.00032355692,5.698204e-05,0.00032355692
35,1,0,0.00016434549,2.9087067e-05,0.00016434549
36,1,0,0.000856387,0.00017142296,0.000856387
37,1,0,0.0020668183,0.00044685602,0.0020668183
38,1,0,0.0027900818,0.00058209896,0.0027900818
39,1,0,0.013888517,0.003629446,0.013888517
40,1,0,0.06760899,0.02480048,0.06760899
41,1,0,0.2872021,0.24326366,0.2872021
42,1,0,0.38135278,0.49655426,0.49655426
43,1,1,0.40205503,0.33598,0.40205503
44,1,3,0.2761054,0.16821384,0.2761054
45,1,3,0.33856887,0.32647705,0.33856887
46,1,0,0.45746413,0.4782375,0.4782375
47,1,3,0.035061315,0.012167335,0.035061315
48,1,3,0.0020375159,0.0004131198,0.0020375159
49,1,3,0.002731067,0.0005953312,0.002731067
50,1,3,0.012222528,0.0033319592,0.012222528
51,1,3,0.015826382,0.0043581724,0.015826382
52,1,3,0.032706957,0.011535287,0.032706957
53,1,3,0.17601326,0.08526486,0.17601326
54,1,3,0.010204168,0.0026882887,0.010204168
55,1,3,0.18905893,0.109981,0.18905893
56,1,3,0.014318966,0.0038847923,0.014318966
57,1,3,0.1572554,0.06999403,0.1572554
58,1,3,0.266656,0.16652703,0.266656
59,1,3,0.34756294,0.21808642,0.34756294
60,1,3,0.448336,0.35422957,0.448336
61,1,6,0.30219167,0.19263321,0.30219167
62,1,0,0.25042555,0.15024483,0.25042555
63,1,0,0.12854907,0.05472529,0.12854907
64,1,3,0.3113045,0.21510804,0.3113045
65,1,3,0.060535565,0.021259367,0.060535565
66,1,3,0.41956908,0.40495437,0.41956908
67,1,3,0.3050555,0.24309373,0.3050555
68,1,3,0.06564211,0.023636818,0.06564211
69,1,3,0.051715374,0.017047048,0.051715374
70,1,3,0.015596632,0.0043677688,0.015596632
71,1,3,0.15526262,0.07742572,0.15526262
72,1,3,0.6449765,0.5912794,0.6449765
73,1,7,0.24933448,0.14051384,0.24933448
74,1,1,0.11485361,0.047799528,0.11485361
75,1,3,0.57703424,0.53089714,0.57703424
76,1,1,0.28437203,0.25923365,0.28437203
77,1,3,0.0584976,0.023817122,0.0584976
78,1,3,0.07486699,0.032012224,0.07486699
79,1,1,0.3151227,0.3350684,0.3350684
80,1,3,0.2048684,0.12024945,0.2048684
81,1,1,0.47968552,0.44468188,0.47968552
82,1,3,0.37177575,0.27029282,0.37177575
83,1,0,0.40603596,0.28289914,0.40603596
84,1,1,0.39422107,0.28259277,0.39422107
85,1,1,0.37434587,0.22441995,0.37434587
86,1,1,0.32898268,0.37623692,0.37623692
87,1,1,0.14650655,0.08939344,0.14650655
88,1,1,0.32411212,0.37723625,0.37723625
89,1,1,0.0858168,0.043095887,0.0858168
90,1,5,0.33292523,0.45550394,0.45550394
91,1,1,0.2325157,0.18746668,0.2325157
92,1,1,0.21670692,0.16445595,0.21670692
93,1,1,0.13221347,0.077355504,0.13221347
94,1,1,0.091826856,0.045829296,0.091826856
95,1,1,0.055136777,0.022740006,0.055136777
96,1,1,0.30220985,0.30468625,0.30468625
97,1,1,0.17744425,0.09437519,0.17744425
98,1,1,0.047523603,0.019300103,0.047523603
99,1,1,0.2574698,0.17486686,0.2574698
100,1,1,0.33566418,0.4176982,0.4176982
101,1,5,0.21473037,0.15144366,0.21473037
102,1,5,0.27402475,0.19787866,0.27402475
103,1,5,0.2132072,0.15804416,0.2132072
104,1,5,0.339713,0.27976245,0.339713
105,1,5,0.3749916,0.39025283,0.39025283
106,1,5,0.29706028,0.30480158,0.30480158
107,1,1,0.30692792,0.2704841,0.30692792
108,1,1,0.03705036,0.0135576725,0.03705036
109,1,1,0.11806163,0.059802234,0.11806163
110,1,5,0.3276634,0.39536655,0.39536655
111,1,5,0.3089471,0.32782012,0.32782012
112,1,1,0.33215788,0.43934083,0.43934083
113,1,5,0.20137027,0.14398223,0.20137027
114,1,1,0.19526361,0.12855697,0.19526361
115,1,1,0.28958055,0.18812823,0.28958055
116,1,1,0.2688523,0.23272306,0.2688523
117,1,5,0.08514739,0.041122973,0.08514739
118,1,5,0.28296772,0.24176633,0.28296772
119,1,1,0.27473384,0.22794193,0.27473384
120,1,1,0.036046125,0.013466597,0.036046125
121,1,1,0.08084153,0.039693236,0.08084153
122,1,1,0.30326757,0.31855738,0.31855738
123,1,1,0.27903423,0.26682287,0.27903423
124,1,1,0.28862906,0.28738517,0.28862906
125,1,1,0.1098356,0.060432494,0.1098356
126,1,1,0.07500453,0.036264837,0.07500453
127,1,1,0.04455466,0.018601716,0.04455466
128,1,1,0.09778421,0.05151981,0.09778421
129,1,5,0.3334242,0.4633299,0.4633299
130,1,1,0.25506872,0.22159201,0.25506872
131,1,1,0.22090682,0.16891986,0.22090682
132,1,1,0.31447983,0.35687906,0.35687906
133,1,1,0.16110487,0.10353589,0.16110487
