window,actual,predict,entropy,un_prob,vacuity,dissonance,overall
1,0,0,0.7033844,0.4048139,0.46264434,2.0332750054339286e-07,0.7033843994140625
2,0,0,0.6918693,0.39463556,0.45101196,1.1513913345867284e-07,0.69186931848526
3,0,0,0.6801492,0.38446015,0.43938297,1.1122954407993303e-07,0.6801491975784302
4,0,0,0.6880497,0.39129943,0.44719923,1.167374222317998e-07,0.6880496740341187
5,0,0,0.6797024,0.38407588,0.43894386,4.963441703558855e-19,0.6797024011611938
6,0,0,0.7218545,0.4215361,0.48175532,3.517941058387376e-07,0.7218545079231262
7,0,0,0.70812875,0.40906167,0.46749896,1.1049393049491183e-07,0.7081287503242493
8,0,0,0.68070006,0.38493443,0.43992501,1.1901582832479462e-07,0.6807000637054443
9,0,0,0.7157507,0.4159541,0.47537607,1.040668754000131e-07,0.7157506942749023
10,0,0,0.7109264,0.41158164,0.47037894,1.1228691718088012e-07,0.7109264135360718
11,0,0,0.6902816,0.3932464,0.44942445,8.231213549762e-19,0.6902816295623779
12,0,0,0.7153427,0.415583,0.47495192,1.1151742106561493e-07,0.7153427004814148
13,0,0,0.71852976,0.41848862,0.47827268,1.0436946070468758e-07,0.7185297608375549
14,0,0,0.7147404,0.4150356,0.4743263,1.0754688897622216e-07,0.7147403955459595
15,0,0,0.6838416,0.38764644,0.44302446,5.956299991770493e-19,0.6838415861129761
16,0,0,0.7027195,0.40422118,0.461967,1.1153218254360022e-07,0.702719509601593
17,0,0,0.69446653,0.39691538,0.4536175,1.0360882149798726e-07,0.6944665312767029
18,0,0,0.70075077,0.40246975,0.4599654,1.1146095719612084e-07,0.7007507681846619
19,0,0,0.6768226,0.38160485,0.43611985,3.704927794032818e-19,0.6768226027488708
20,0,0,0.76048064,0.4582522,0.52371633,8.034763466758521e-07,0.7604806423187256
21,0,0,0.7654187,0.463134,0.52929556,6.824993470767237e-07,0.7654187083244324
22,0,0,0.676085,0.3809737,0.4353984,1.1134126940717958e-07,0.6760849952697754
23,0,0,0.6802465,0.38454401,0.4394788,1.1071153680457569e-07,0.6802464723587036
24,0,0,0.6837904,0.38760215,0.4429738,1.0716844944572582e-07,0.683790385723114
25,0,0,0.7397809,0.43826574,0.500875,2.7666501454726266e-07,0.7397809028625488
26,0,0,0.72233194,0.42197514,0.48225713,3.4708792691510423e-07,0.7223319411277771
27,0,0,0.7217415,0.42143226,0.4816367,2.266495147094102e-07,0.7217414975166321
28,0,0,0.7268973,0.42619073,0.48707503,1.093344070629068e-07,0.7268972992897034
29,0,0,0.698583,0.40054756,0.45776862,1.0670363500478175e-07,0.6985830068588257
30,0,0,0.71138334,0.4119944,0.47085065,1.0634942391095399e-07,0.7113833427429199
31,0,0,0.7211213,0.42086262,0.48098576,1.084729063006858e-07,0.7211213111877441
32,0,0,0.7125946,0.41308975,0.47210252,1.0485664377782208e-07,0.7125946283340454
33,0,0,0.7119055,0.41246623,0.4713899,1.09781121228511e-07,0.7119054794311523
34,0,0,0.7344427,0.43323004,0.49511987,3.405041060860625e-07,0.7344427108764648
35,0,0,0.7411386,0.43955398,0.50234723,2.778765552658776e-07,0.7411385774612427
36,0,0,0.7389331,0.43746293,0.49995738,3.3878033982528594e-07,0.7389330863952637
37,0,0,0.7779687,0.47575152,0.5437152,1.421177853242443e-06,0.77796870470047
38,0,0,0.7114489,0.41205359,0.47091824,2.3252259424374046e-07,0.7114489078521729
39,0,0,0.7308367,0.42985463,0.4912622,3.413284961628877e-07,0.7308366894721985
40,0,0,0.73976845,0.43825394,0.5008614,3.385125243033846e-07,0.7397684454917908
41,0,0,0.6847882,0.38846618,0.44396126,1.0371663142529654e-07,0.6847882270812988
42,0,0,0.71703315,0.41712236,0.4767111,2.2895700250587485e-07,0.7170331478118896
43,0,0,0.72210675,0.421768,0.4820205,1.109017728662452e-07,0.7221067547798157
44,0,0,0.7250291,0.42446184,0.48509908,2.231007179489565e-07,0.7250291109085083
45,0,0,0.70509666,0.40634316,0.4643922,5.587478932592004e-19,0.7050966620445251
46,0,0,0.70213145,0.4036975,0.46136844,1.0667565425522369e-07,0.702131450176239
47,0,0,0.73011655,0.42918295,0.49049473,1.0408301434044276e-07,0.7301165461540222
48,0,0,0.6946401,0.39706796,0.45379192,9.76090177958215e-08,0.6946401000022888
49,0,0,0.71525323,0.41550165,0.474859,1.0716969711524121e-07,0.7152532339096069
50,0,0,0.6793236,0.38375026,0.43857175,1.3930052008429542e-19,0.6793236136436462
51,0,0,0.7232788,0.4228468,0.48325342,9.498098402496756e-08,0.723278820514679
52,0,0,0.7099176,0.4106717,0.46933907,8.851204242245315e-19,0.7099176049232483
53,0,0,0.6644433,0.3711022,0.4241168,6.393542424476275e-20,0.66444331407547
54,0,0,0.7142612,0.4146005,0.47382903,1.0500015242432732e-07,0.7142611742019653
55,0,0,0.73029184,0.42934632,0.49068147,1.0889370768070752e-07,0.7302918434143066
56,0,0,0.69663763,0.3988281,0.4558035,4.0157265453685797e-19,0.6966376304626465
57,0,0,0.7180237,0.41802627,0.47774416,2.287620445738001e-07,0.7180237174034119
58,0,0,0.78382605,0.4817487,0.5505694,8.102289996193213e-07,0.7838260531425476
59,0,0,0.6842081,0.38796365,0.44338697,1.0716813683133339e-07,0.6842080950737
60,0,0,0.74951,0.44756633,0.5115041,3.298555176016257e-07,0.7495099902153015
61,0,0,0.70389366,0.40526837,0.46316373,1.1111789331206971e-07,0.7038936614990234
62,0,0,0.70935684,0.41016644,0.46876162,1.1307716930973802e-07,0.7093568444252014
63,0,0,0.7327377,0.43163145,0.49329293,2.194468658425483e-07,0.7327377200126648
64,0,0,0.7126114,0.4131049,0.47211975,2.2978859041411985e-07,0.7126113772392273
65,0,0,0.7655184,0.46323305,0.529409,4.0121877574377285e-07,0.7655184268951416
66,0,0,0.747428,0.4455623,0.5092139,2.744604113366634e-07,0.7474279999732971
67,0,0,0.7256943,0.42507672,0.48580194,1.0955403583902584e-07,0.7256942987442017
68,0,0,0.7607937,0.4585603,0.5240687,3.490169414309999e-07,0.7607936859130859
69,0,0,0.7581095,0.45592427,0.52105594,6.948032324042326e-07,0.7581095099449158
70,0,0,0.76747704,0.4651823,0.5316367,2.3013583002423974e-07,0.7674770355224609
71,0,0,0.73558366,0.43430233,0.4963454,2.230992841932325e-07,0.7355836629867554
72,0,0,0.7576387,0.45546323,0.52052927,2.1228034713180376e-07,0.757638692855835
73,0,0,0.7170194,0.41710973,0.4766968,1.0228157904584526e-07,0.7170193791389465
74,0,0,0.74737173,0.44550836,0.50915223,2.748881305987399e-07,0.7473717331886292
75,0,0,0.7419403,0.4403162,0.5032184,2.1583296235674706e-07,0.7419403195381165
76,0,0,0.7182609,0.41824287,0.4779917,2.257648685391355e-07,0.7182608842849731
77,0,0,0.7546697,0.4525652,0.5172172,2.691625145118669e-07,0.754669725894928
78,0,0,0.7566216,0.45446873,0.5193926,3.2424424570814865e-07,0.7566215991973877
79,0,0,0.7266823,0.42599154,0.48684734,1.0910772211812036e-07,0.7266823053359985
80,0,0,0.7296921,0.42878747,0.49004275,1.0294114258141675e-07,0.7296921014785767
81,0,0,0.73593616,0.43463415,0.49672455,3.379876397515078e-07,0.735936164855957
82,0,0,0.734415,0.433204,0.49509025,9.203775942612975e-08,0.7344149947166443
83,0,0,0.73268485,0.43158197,0.49323636,3.422042390769274e-07,0.732684850692749
84,0,0,0.7448518,0.44309324,0.5063921,2.1483136779703276e-07,0.74485182762146
85,0,0,0.80381674,0.5027766,0.5746016,5.121688486201504e-07,0.8038167357444763
86,0,0,0.7493854,0.44744623,0.51136696,2.145001038125822e-07,0.749385416507721
87,0,0,0.7577358,0.4555583,0.52063775,5.233028112832193e-07,0.7577357888221741
88,0,0,0.77576214,0.4735105,0.5411544,8.824296678192403e-07,0.775762140750885
89,0,0,0.73954576,0.43804288,0.5006194,1.766026830952272e-06,0.7395457625389099
90,0,0,0.7167266,0.41684282,0.4763916,3.265788710631454e-07,0.7167266011238098
91,0,0,0.6868691,0.39027214,0.44602525,1.1647248862342687e-07,0.6868690848350525
92,0,0,0.66442144,0.37108374,0.4240957,6.820838821047346e-20,0.6644214391708374
93,0,0,0.6978187,0.39987147,0.45699584,1.0426115717474835e-07,0.6978186964988708
94,0,0,0.7129566,0.41341752,0.47247702,2.2785518521342595e-07,0.7129566073417664
95,0,0,0.69724345,0.3993631,0.45641488,9.782333902890734e-08,0.6972434520721436
96,0,0,0.71178067,0.41235346,0.47126096,2.311456018809404e-07,0.7117806673049927
97,0,0,0.70592135,0.4070813,0.46523565,2.0178361824397007e-07,0.7059213519096375
98,0,0,0.65486866,0.3631081,0.4149807,5.301886738780278e-19,0.6548686623573303
99,0,0,0.6579651,0.3656813,0.41792148,7.894547362356626e-19,0.6579651236534119
100,0,0,0.6618028,0.36888653,0.42158455,8.109458288919236e-08,0.6618028283119202
101,0,0,0.6891554,0.3922631,0.44830066,1.0986344073505967e-07,0.6891553997993469
102,0,0,0.6696945,0.37553394,0.42918164,2.1573440113578263e-19,0.6696944832801819
103,0,0,0.6994118,0.40128165,0.45860755,1.0620702230738236e-07,0.6994118094444275
104,0,0,0.66799164,0.37409306,0.42753488,7.705696537383651e-08,0.6679916381835938
105,0,0,0.6955835,0.39789855,0.45474118,1.0235843635056234e-07,0.6955835223197937
106,0,0,0.6882125,0.39144117,0.4473613,2.698898983573839e-19,0.688212513923645
107,0,0,0.6919809,0.3947333,0.4511237,9.875967800871714e-08,0.6919808983802795
108,0,0,0.6816191,0.3857265,0.4408303,1.6661849241301059e-19,0.6816191077232361
109,0,0,0.67461556,0.37971824,0.43396372,1.1977703794665436e-19,0.6746155619621277
110,0,0,0.7025903,0.40410602,0.46183538,9.820594539774935e-08,0.70259028673172
111,0,0,0.72228026,0.42192757,0.48220283,9.997539814670019e-08,0.7222802639007568
112,0,0,0.69780403,0.39985842,0.45698106,2.995403373959748e-19,0.6978040337562561
113,0,0,0.69930303,0.4011852,0.4584974,4.231730116381267e-19,0.6993030309677124
114,0,0,0.70482856,0.40610355,0.46411836,4.648463426460946e-19,0.7048285603523254
115,0,0,0.71106267,0.41170472,0.47051966,1.51387516864543e-18,0.7110626697540283
116,0,0,0.72337687,0.42293715,0.4833567,1.102185284571714e-07,0.7233768701553345
117,0,0,0.7298962,0.4289776,0.49026,2.188130573196543e-07,0.7298961877822876
118,0,0,0.71320474,0.41364235,0.47273403,1.0726613173767935e-07,0.7132047414779663
119,0,0,0.7141958,0.41454113,0.4737612,1.0491623726433717e-07,0.7141957879066467
120,0,0,0.6905128,0.3934484,0.4496553,1.0967930359801037e-07,0.6905127763748169
121,0,0,0.7176134,0.41765153,0.4773159,2.2538782474882803e-07,0.7176133990287781
122,0,0,0.6966271,0.39881885,0.45579284,1.0640185998621292e-07,0.6966270804405212
123,0,0,0.69416726,0.39665216,0.45331675,1.0086140029400727e-07,0.6941672563552856
124,0,0,0.69108015,0.39394474,0.45022243,9.819711979333667e-08,0.6910801529884338
125,0,0,0.6945337,0.39697438,0.453685,5.278435618855538e-19,0.6945337057113647
126,0,0,0.6778191,0.3824587,0.43709564,2.0500139465828996e-19,0.6778190732002258
127,0,0,0.6843324,0.38807118,0.44350994,3.064813751518999e-19,0.6843323707580566
128,0,0,0.713263,0.41369516,0.47279435,1.0285882379107928e-07,0.7132629752159119
129,0,0,0.6462664,0.3560186,0.4068784,4.0906941739500794e-20,0.6462664008140564
130,0,0,0.67766905,0.38233006,0.4369486,1.0604225951064238e-07,0.6776690483093262
131,0,0,0.6559991,0.3640461,0.41605264,1.3727384035552362e-19,0.6559991240501404
132,0,0,0.68477607,0.38845557,0.44394922,2.698241296675561e-19,0.6847760677337646
133,0,0,0.7116274,0.41221488,0.47110265,9.644114906066587e-08,0.7116274237632751
134,0,0,0.680596,0.3848449,0.43982267,1.0339999186644912e-07,0.6805959939956665
135,0,0,0.6848676,0.3885349,0.44403988,1.0748058441763906e-19,0.6848676204681396
136,0,0,0.70294917,0.4044258,0.46220088,2.0888926718733512e-19,0.7029491662979126
137,0,0,0.72277385,0.42238176,0.48272198,1.001589101546331e-07,0.7227738499641418
138,0,0,0.6895546,0.39261138,0.4486987,9.95486931858229e-08,0.6895545721054077
139,0,0,0.72025406,0.42006695,0.4800765,1.0694767462454006e-07,0.7202540636062622
140,0,0,0.681155,0.3853264,0.440373,1.4170470080237854e-19,0.6811550259590149
141,0,0,0.7048325,0.406107,0.4641223,2.5070225577858505e-19,0.7048324942588806
142,0,0,0.69813937,0.40015507,0.45732003,4.1856267750022395e-19,0.6981393694877625
143,0,0,0.7061079,0.40724832,0.46542662,1.1052670739887144e-07,0.7061079144477844
144,0,0,0.708523,0.40941602,0.46790397,1.0977534373225604e-07,0.7085229754447937
145,0,0,0.6991585,0.40105724,0.45835108,3.941769571928521e-19,0.6991584897041321
146,0,0,0.70936406,0.410173,0.468769,1.0121621827218622e-07,0.7093640565872192
147,0,0,0.7055588,0.40675664,0.46486467,1.0448970416126418e-07,0.7055587768554688
148,0,0,0.70155334,0.4031831,0.46078062,9.848576426344935e-08,0.7015533447265625
149,0,0,0.73627937,0.43495727,0.49709392,2.2046348886847421e-07,0.7362793684005737
150,0,0,0.6933998,0.39597785,0.45254612,3.3530063601905944e-19,0.6933997869491577
151,0,0,0.73658633,0.4352466,0.49742454,2.2164920416937676e-07,0.736586332321167
152,0,0,0.7171668,0.41724414,0.4768504,1.0251764277098832e-07,0.7171667814254761
153,0,0,0.7487456,0.44682974,0.5106623,3.3244986570607965e-07,0.7487456202507019
154,0,0,0.7417692,0.44015336,0.5030323,1.6124591401311426e-07,0.7417691946029663
155,0,0,0.73407906,0.43288863,0.4947297,3.4216922950847923e-07,0.7340790629386902
156,0,0,0.7206383,0.42041928,0.48047912,1.0854593586389714e-07,0.7206382751464844
157,0,0,0.7169558,0.41705167,0.47663045,1.0705306174502532e-07,0.7169557809829712
158,0,0,0.743153,0.44147104,0.5045383,1.6010910115974363e-07,0.7431529760360718
159,0,0,0.71764064,0.4176765,0.4773445,1.1048576908610929e-07,0.7176406383514404
160,0,0,0.7325996,0.43150216,0.49314523,2.2252836990924403e-07,0.7325996160507202
161,0,0,0.7011859,0.4028564,0.46040726,1.02153089908002e-07,0.7011858820915222
162,0,0,0.73081326,0.42983276,0.49123734,9.916990618996418e-08,0.7308132648468018
163,0,0,0.71694773,0.41704434,0.47662205,1.0472240149004554e-07,0.7169477343559265
164,0,0,0.69167936,0.3944692,0.45082194,1.2115542017423165e-18,0.6916793584823608
165,0,0,0.67066234,0.37635446,0.4301194,3.0400049784877667e-19,0.6706623435020447
166,0,0,0.70465165,0.40594542,0.46393758,1.3036772961597354e-18,0.7046516537666321
167,0,0,0.6915459,0.39435232,0.45068836,8.88648692258956e-19,0.6915459036827087
168,0,0,0.71789145,0.4179054,0.47760612,1.0000141780013647e-07,0.7178914546966553
169,0,0,0.69633573,0.39856172,0.4554991,7.932455544844004e-19,0.6963357329368591
170,0,0,0.6974813,0.39957315,0.45665503,1.03678425119137e-18,0.6974812746047974
171,0,0,0.72774017,0.42697263,0.48796868,9.340472289937472e-08,0.7277401685714722
172,0,0,0.74324197,0.44155586,0.5046352,9.745842247474192e-08,0.7432419657707214
173,0,0,0.7174697,0.41752046,0.47716618,9.485895499942996e-08,0.7174696922302246
174,0,0,0.6975471,0.39963132,0.45672148,1.0276101055298154e-18,0.6975470781326294
175,0,0,0.72850686,0.42768478,0.48878258,2.4067639217293416e-18,0.728506863117218
176,0,0,0.717392,0.41744965,0.47708523,9.483164171074114e-08,0.7173920273780823
177,0,0,0.7223904,0.42202884,0.48231864,1.0618545387343848e-07,0.7223904132843018
178,0,0,0.7914013,0.48961234,0.5595565,8.7180049216127e-07,0.7914013266563416
179,0,0,0.7111782,0.41180897,0.47063875,1.1234953756602022e-07,0.711178183555603
180,0,0,0.7693973,0.46710056,0.53382885,6.467041156185639e-07,0.7693973183631897
181,0,0,0.7975814,0.49612093,0.56699467,1.1665013092039858e-06,0.7975813746452332
182,0,0,0.7976341,0.49617684,0.5670575,2.947806082543638e-06,0.7976341247558594
183,0,0,0.87392884,0.5851872,0.6687818,6.178524909435009e-06,0.8739288449287415
184,0,0,0.86466855,0.57334536,0.655249,4.931914545166076e-06,0.8646685481071472
185,0,0,0.8932834,0.61118805,0.69849896,3.0162016116476584e-06,0.8932834267616272
186,0,0,0.8506356,0.5560343,0.63546693,1.5211902178621552e-06,0.8506355881690979
187,0,0,0.8150924,0.515051,0.5886291,1.0585822706606245e-06,0.8150923848152161
188,0,0,0.79422116,0.4925714,0.5629386,2.676890303589832e-07,0.7942211627960205
189,0,0,0.76415056,0.46187598,0.52785814,1.5134718282416884e-07,0.7641505599021912
190,0,0,0.71503025,0.41529894,0.47462738,1.926345248480947e-18,0.7150302529335022
191,0,0,0.70313853,0.40459466,0.46239388,6.942550117869509e-19,0.703138530254364
192,0,0,0.68501127,0.38865942,0.44418222,3.724490812585316e-19,0.6850112676620483
193,0,0,0.69629645,0.39852715,0.4554596,6.175363720278185e-19,0.6962964534759521
194,0,0,0.6683899,0.3744297,0.4279197,1.9819544307363483e-19,0.6683899164199829
195,0,0,0.6660509,0.37245524,0.4256631,1.5499547237870233e-19,0.666050910949707
196,0,0,0.6618096,0.3688922,0.4215911,1.7771976367947767e-19,0.6618096232414246
197,0,0,0.66410744,0.3708198,0.4237941,1.6073597284454438e-19,0.6641074419021606
198,0,0,0.66799015,0.37409168,0.4275334,2.081561644197207e-19,0.6679901480674744
199,0,0,0.6441636,0.3542987,0.40491283,3.1586118450708184e-20,0.6441636085510254
200,0,0,0.61900365,0.3341034,0.38183248,5.546200678461703e-21,0.6190036535263062
201,0,0,0.6516637,0.3604566,0.4119504,7.467606053478448e-20,0.6516637206077576
202,0,0,0.69541496,0.39775002,0.45457137,1.005895040031538e-07,0.6954149603843689
203,0,0,0.67529535,0.38029873,0.43462712,2.7570907957630726e-19,0.675295352935791
204,0,0,0.6918891,0.3946529,0.45103192,1.4187116010814344e-19,0.6918891072273254
205,0,0,0.7027992,0.40429217,0.4620481,1.0394748130886213e-07,0.7027992010116577
206,0,0,0.7051705,0.40640926,0.4644677,4.466970129099838e-19,0.7051705121994019
207,0,0,0.7005294,0.40227318,0.45974076,3.5310290466304104e-19,0.7005293965339661
208,0,0,0.73806715,0.43664402,0.49902165,1.0614863077578375e-07,0.7380671501159668
209,0,0,0.70510125,0.40634733,0.4643969,9.846824250727557e-08,0.7051012516021729
210,0,0,0.69023806,0.39320832,0.44938093,5.948069614838965e-19,0.6902380585670471
211,0,0,0.67952865,0.3839265,0.43877316,1.5018338080291494e-19,0.6795286536216736
212,0,0,0.70592666,0.407086,0.46524107,1.004809977671571e-07,0.7059266567230225
213,0,0,0.69933724,0.4012156,0.4585321,9.75108920692913e-08,0.6993372440338135
214,0,0,0.7049878,0.4062459,0.46428102,4.671796289868935e-19,0.7049878239631653
215,0,0,0.7319352,0.43088073,0.49243504,1.011118563595261e-07,0.7319352030754089
216,0,0,0.73722816,0.4358518,0.4981163,9.940766186799707e-08,0.7372281551361084
217,0,0,0.72001487,0.41984773,0.4798259,1.0558070986991508e-07,0.7200148701667786
218,0,0,0.7343346,0.43312848,0.49500394,9.991884755526018e-08,0.7343345880508423
219,0,0,0.7381844,0.43675488,0.4991483,1.011385881060606e-07,0.73818439245224
220,0,0,0.70782316,0.40878707,0.46718514,9.899535191172863e-08,0.7078231573104858
221,0,0,0.73153764,0.4305091,0.49201035,1.0083579604819975e-07,0.7315376400947571
222,0,0,0.6859471,0.38947123,0.44511002,2.348876316489232e-19,0.6859471201896667
223,0,0,0.70502007,0.40627474,0.46431392,9.942095985163293e-08,0.7050200700759888
224,0,0,0.692376,0.3950796,0.45151955,1.1880143585645082e-18,0.6923760175704956
225,0,0,0.69667846,0.3988641,0.45584464,9.805440043393745e-08,0.6966784596443176
226,0,0,0.6846891,0.38838023,0.4438631,2.928236309110314e-19,0.6846891045570374
227,0,0,0.7229358,0.4225309,0.48289233,1.0051514808892653e-07,0.7229357957839966
228,0,0,0.6988867,0.40081644,0.45807594,4.776478234349397e-19,0.6988866925239563
229,0,0,0.6879365,0.39120084,0.44708663,2.394747251581424e-19,0.6879364848136902
230,0,0,0.70201355,0.4035926,0.4612487,3.818673734956375e-19,0.7020135521888733
231,0,0,0.6990041,0.40092045,0.45819485,7.07691251312572e-19,0.6990041136741638
232,0,0,0.69921404,0.40110648,0.45840734,3.1383734008622675e-19,0.6992140412330627
233,0,0,0.6748921,0.37995434,0.43423355,2.3897897708586704e-19,0.6748921275138855
234,0,0,0.72225904,0.42190796,0.48218048,9.792634820108434e-08,0.7222590446472168
235,0,0,0.6882177,0.39144558,0.44736642,1.3719728278378837e-19,0.6882176995277405
236,0,0,0.68393785,0.38772964,0.4431196,2.453312520867564e-19,0.6839378476142883
237,0,0,0.6908064,0.39370513,0.44994873,2.567113969104325e-19,0.6908063888549805
238,0,0,0.72789204,0.4271136,0.48812973,9.752998651800714e-08,0.7278920412063599
239,0,0,0.6651875,0.37172818,0.42483217,1.5899094689713287e-19,0.6651874780654907
240,0,0,0.6662577,0.37262958,0.42586237,6.499088676449496e-20,0.6662576794624329
241,0,0,0.7188118,0.41874647,0.47856742,6.021367946968279e-19,0.7188118100166321
242,0,0,0.68855673,0.3917411,0.44770414,2.398583556532214e-19,0.6885567307472229
243,0,0,0.65141994,0.36025542,0.41172045,5.324221162057898e-20,0.6514199376106262
244,0,0,0.7078236,0.40878743,0.46718568,3.0325735456385174e-19,0.7078235745429993
245,0,0,0.6817336,0.38582528,0.44094318,2.6095254774191835e-19,0.6817336082458496
246,0,0,0.7240458,0.42355394,0.4840616,9.576620514078449e-08,0.7240458130836487
247,0,0,0.71546406,0.41569334,0.47507805,1.013842622931177e-07,0.7154640555381775
248,0,0,0.744754,0.44299966,0.50628525,1.0307747807067385e-07,0.7447540163993835
249,0,0,0.7419698,0.44034427,0.50325036,3.3699224800428705e-07,0.7419698238372803
250,0,0,0.6810728,0.38525552,0.440292,1.562836097196447e-19,0.6810727715492249
251,0,0,0.6951389,0.39750695,0.45429367,1.4563735639999613e-19,0.6951388716697693
252,0,0,0.74360424,0.4419015,0.50503016,1.0032677913939383e-07,0.7436042428016663
253,0,0,0.7161586,0.41632545,0.47580045,3.1388691451412736e-19,0.7161586284637451
254,0,0,0.71043384,0.41113716,0.46987104,2.0755356395913542e-19,0.710433840751648
255,0,0,0.7083573,0.40926713,0.4677338,1.0594923124137418e-07,0.7083572745323181
256,0,0,0.7245262,0.42399728,0.4845683,3.5901633598311284e-19,0.7245262265205383
257,0,0,0.68399906,0.3877827,0.44318026,1.2764137413676233e-19,0.6839990615844727
258,0,0,0.7044185,0.40573692,0.46369934,2.9332753544100513e-19,0.7044184803962708
259,0,0,0.67236775,0.3778032,0.4317751,1.3886842524643729e-19,0.6723677515983582
260,0,0,0.72988075,0.4289633,0.49024367,9.749824672586884e-08,0.7298807501792908
261,0,0,0.6753536,0.38034844,0.43468392,1.3052461033749454e-19,0.6753535866737366
262,0,0,0.63488245,0.3467675,0.39630574,1.645452977963555e-20,0.6348824501037598
263,0,0,0.6757349,0.3806743,0.4350564,5.177897054554604e-19,0.6757348775863647
264,0,0,0.6553289,0.36348987,0.41541702,3.8800673498377126e-20,0.6553289294242859
265,0,0,0.65139633,0.36023587,0.41169816,5.900933702581529e-20,0.6513963341712952
266,0,0,0.67172295,0.37725496,0.43114853,2.0454651713101637e-19,0.671722948551178
267,0,0,0.67897624,0.38345188,0.43823075,3.1656736060714097e-19,0.6789762377738953
268,0,0,0.677157,0.3818912,0.43644708,3.786097146728574e-19,0.6771569848060608
269,0,0,0.672523,0.37793523,0.43192595,1.4991731844669612e-19,0.672523021697998
270,0,0,0.68141544,0.38555092,0.4406296,1.198070266046475e-19,0.6814154386520386
271,0,0,0.7270619,0.42634338,0.48724955,9.611687262330318e-08,0.727061927318573
272,0,0,0.7163284,0.41648006,0.47597712,1.0481357826345719e-07,0.7163283824920654
273,0,0,0.70683426,0.4078995,0.46617085,8.857783874051593e-19,0.7068342566490173
274,0,0,0.7311398,0.4301374,0.49158543,2.191801538129425e-07,0.7311397790908813
275,0,0,0.78243685,0.48031992,0.5489367,5.174617567023323e-07,0.7824368476867676
276,0,0,0.7804491,0.47828245,0.5466079,1.0609097949278054e-06,0.7804490923881531
277,0,0,0.79221016,0.49045926,0.56052387,1.7610768049735116e-06,0.7922101616859436
278,0,0,0.9063631,0.629894,0.7198697,1.6008677343509216e-05,0.9063631296157837
279,0,0,0.94802827,0.6985192,0.7982075,0.00017517609659025647,0.9480282664299011
280,0,0,0.9297838,0.6663822,0.7615544,4.4166481497857655e-05,0.929783821105957
281,0,0,0.9632212,0.7291494,0.8332261,0.0001531801022453834,0.9632211923599243
282,0,0,0.9684038,0.7407891,0.84657526,7.145675159764399e-05,0.9684038162231445
283,0,0,0.9016658,0.62305754,0.71205264,2.2853622317724096e-05,0.9016658067703247
284,0,0,0.98660874,0.79059684,0.9035152,4.1906580669621613e-05,0.9866087436676025
285,0,0,0.98945266,0.8006786,0.91503084,3.430439190601612e-05,0.9894526600837708
286,0,0,0.9906663,0.8053464,0.92026865,0.00022260040132057745,0.9906662702560425
287,0,0,0.99779016,0.8421896,0.96245086,8.878955192212283e-05,0.9977901577949524
288,0,0,0.9980649,0.8443608,0.96488035,0.0001809900452260088,0.9980648756027222
289,0,0,0.9535851,0.70921767,0.8104896,7.857298107921837e-05,0.9535850882530212
290,0,0,0.999244,0.8560717,0.9782194,0.00025950871283145406,0.999243974685669
291,1,5,0.9999999,0.87478036,0.9996884,7.981057448996439e-05,0.9999998807907104
292,1,5,1.0,0.87491673,0.999877,2.1841823959659006e-05,1.0
293,1,6,0.9998688,0.8672127,0.9906547,0.000328363366730922,0.9998688101768494
294,1,6,0.9999984,0.8741642,0.99884903,0.0001545911103634864,0.9999983906745911
295,1,6,0.99998397,0.8722932,0.99686354,2.4264239565470336e-05,0.9999839663505554
296,1,6,0.9995049,0.8597437,0.98219424,0.00061703729014946,0.9995049238204956
297,1,6,0.99787015,0.8428086,0.9631577,4.7235885776990836e-05,0.997870147228241
298,1,6,0.9926946,0.81380713,0.92968357,0.0003223289066710716,0.992694616317749
299,1,2,0.9999968,0.874279,0.9970021,0.0023885932023540446,0.9999967813491821
300,1,7,0.9999985,0.87428534,0.9984212,0.0007964485489859893,0.9999985098838806
