window,actual,predict,entropy,un_prob,overall
1,0,5,0.6049161,0.51227534,0.6049161
2,0,5,0.4886852,0.4161008,0.4886852
3,0,5,0.66080266,0.5733024,0.66080266
4,0,5,0.71136796,0.6730895,0.71136796
5,0,5,0.72452646,0.6367085,0.72452646
6,0,6,0.7361354,0.6509015,0.7361354
7,0,6,0.6881944,0.5745444,0.6881944
8,0,6,0.6363138,0.53794426,0.6363138
9,0,6,0.5987846,0.5331049,0.5987846
10,0,6,0.6034622,0.56294084,0.6034622
11,0,6,0.6912233,0.61584675,0.6912233
12,0,6,0.74018824,0.6585191,0.74018824
13,0,0,0.7239401,0.65398467,0.7239401
14,0,6,0.73755276,0.69051844,0.73755276
15,0,6,0.725892,0.6241342,0.725892
16,0,6,0.710758,0.6208371,0.710758
17,0,6,0.6733159,0.58654433,0.6733159
18,0,6,0.7376653,0.67025244,0.7376653
19,0,6,0.6865147,0.5879433,0.6865147
20,0,6,0.6335543,0.5623877,0.6335543
21,0,6,0.59453577,0.5552443,0.59453577
22,0,6,0.5914056,0.546988,0.5914056
23,0,6,0.5787427,0.52719474,0.5787427
24,0,6,0.5634337,0.51188886,0.5634337
25,0,6,0.5720816,0.529239,0.5720816
26,0,6,0.5754074,0.54885733,0.5754074
27,0,6,0.5653179,0.5369042,0.5653179
28,0,6,0.56471306,0.5424369,0.56471306
29,0,6,0.5578538,0.48846412,0.5578538
30,0,6,0.54696417,0.49496228,0.54696417
31,0,6,0.5391068,0.48404205,0.5391068
32,0,6,0.53475136,0.49472886,0.53475136
33,0,6,0.527711,0.51893663,0.527711
34,0,6,0.5121898,0.5242277,0.5242277
35,0,6,0.5224609,0.51640034,0.5224609
36,0,6,0.52222013,0.54068553,0.54068553
37,0,6,0.5283976,0.49979,0.5283976
38,0,6,0.52659327,0.49254054,0.52659327
39,0,6,0.5222958,0.53292596,0.53292596
40,0,6,0.5340051,0.53423345,0.53423345
41,0,6,0.54118603,0.49759483,0.54118603
42,0,6,0.56129843,0.51437235,0.56129843
43,0,6,0.60161,0.5397576,0.60161
44,0,6,0.62172806,0.56855524,0.62172806
45,0,6,0.6551025,0.59273875,0.6551025
46,0,6,0.6721628,0.59320766,0.6721628
47,0,6,0.7128904,0.6233576,0.7128904
48,0,6,0.70607233,0.6189902,0.70607233
49,0,6,0.6616035,0.570264,0.6616035
50,0,6,0.60530186,0.54956234,0.60530186
51,0,6,0.5659091,0.53184044,0.5659091
52,0,6,0.5692338,0.54365265,0.5692338
53,0,6,0.56390476,0.527702,0.56390476
54,0,6,0.55510765,0.5102539,0.55510765
55,0,6,0.5558093,0.5043839,0.5558093
56,0,6,0.55552846,0.5099101,0.55552846
57,0,6,0.55103666,0.5112374,0.55103666
58,0,6,0.57384664,0.5480027,0.57384664
59,0,6,0.62467104,0.56401974,0.62467104
60,0,6,0.67432076,0.5879141,0.67432076
61,0,6,0.6406085,0.5579213,0.6406085
62,0,6,0.62643933,0.5549624,0.62643933
63,0,6,0.60962826,0.53654027,0.60962826
64,0,6,0.6076232,0.549299,0.6076232
65,0,6,0.65241164,0.57815146,0.65241164
66,0,6,0.73700345,0.65671325,0.73700345
67,0,6,0.7434301,0.65791553,0.7434301
68,0,6,0.7430446,0.66079575,0.7430446
69,0,6,0.73458767,0.6506041,0.73458767
70,0,6,0.68522775,0.62234753,0.68522775
71,0,6,0.72918993,0.6407559,0.72918993
72,0,6,0.6448617,0.5791671,0.6448617
73,0,6,0.6070053,0.5733385,0.6070053
74,0,6,0.6386431,0.60162866,0.6386431
75,0,6,0.6013852,0.55449545,0.6013852
76,0,6,0.59222656,0.54658496,0.59222656
77,0,6,0.6584372,0.5733162,0.6584372
78,0,6,0.6206686,0.5729306,0.6206686
79,0,6,0.6018747,0.54955435,0.6018747
80,0,6,0.6059215,0.5596113,0.6059215
81,0,6,0.597049,0.539048,0.597049
82,0,6,0.5869224,0.5063626,0.5869224
83,0,6,0.59622097,0.54689646,0.59622097
84,0,6,0.58819205,0.549579,0.58819205
85,0,6,0.59596574,0.5560961,0.59596574
86,0,6,0.61602825,0.5805274,0.61602825
87,0,6,0.61171716,0.5588619,0.61171716
88,0,6,0.7136285,0.6067066,0.7136285
89,0,6,0.7055857,0.6007457,0.7055857
90,0,6,0.6753844,0.6053987,0.6753844
91,0,6,0.6741381,0.60845137,0.6741381
92,0,5,0.7318591,0.66269743,0.7318591
93,0,5,0.72710735,0.637498,0.72710735
94,0,6,0.7365415,0.66113293,0.7365415
95,0,6,0.72238976,0.6375715,0.72238976
96,0,6,0.6557007,0.6081868,0.6557007
