window,actual,predict,entropy,un_prob,vacuity,dissonance,overall
1,0,0,0.6263913,0.35034573,0.32906765,0.12482306081801653,0.6263912916183472
2,0,0,0.29381916,0.12268633,0.1402129,0.0,0.2938191592693329
3,0,0,0.23564604,0.092909634,0.1061824,0.0,0.23564603924751282
4,0,0,0.19995852,0.07578033,0.086606085,0.0,0.19995851814746857
5,0,0,0.19396943,0.072992384,0.08341992,0.0,0.19396942853927612
6,0,0,0.18552262,0.0691036,0.07897556,0.0,0.18552261590957642
7,0,0,0.18808718,0.07027894,0.08031875,0.0,0.18808718025684357
8,0,0,0.1944032,0.07319349,0.083649695,0.0,0.19440320134162903
9,0,0,0.18748407,0.07000214,0.08000243,0.0,0.18748407065868378
10,0,0,0.16299506,0.058983684,0.06740987,0.0,0.16299505531787872
11,0,0,0.16235586,0.058701932,0.06708795,0.0,0.16235585510730743
12,0,0,0.16879517,0.061553776,0.07034719,0.0,0.1687951683998108
13,0,0,0.16615015,0.06037867,0.06900418,0.0,0.16615015268325806
14,0,0,0.15022987,0.053415656,0.06104648,0.0,0.15022987127304077
15,0,0,0.14372799,0.05062723,0.05785972,0.0,0.14372798800468445
16,0,0,0.15096635,0.053733528,0.06140971,0.0,0.1509663462638855
17,0,0,0.15616736,0.05599028,0.063988864,0.0,0.15616735816001892
18,0,0,0.19567576,0.07378411,0.08432472,0.0,0.19567576050758362
19,0,0,0.21676315,0.08373672,0.09569913,0.0,0.21676315367221832
20,0,0,0.23553453,0.09285474,0.10611969,0.0,0.23553453385829926
21,0,0,0.21529634,0.083034456,0.094896495,0.0,0.21529634296894073
22,0,0,0.20323181,0.077314675,0.088359594,0.0,0.2032318115234375
23,0,0,0.16552775,0.06010288,0.06868899,0.0,0.16552774608135223
24,0,0,0.142215,0.049983025,0.057123482,0.0,0.14221499860286713
25,0,0,0.1465778,0.05184543,0.059251845,0.0,0.14657780528068542
26,0,0,0.15078226,0.053654075,0.061318934,0.0,0.1507822573184967
27,0,0,0.1548371,0.0554111,0.063326955,0.0,0.15483710169792175
28,0,0,0.16575316,0.060202718,0.06880313,0.0,0.16575315594673157
29,0,0,0.18977185,0.071053565,0.08120406,0.0,0.1897718459367752
30,0,0,0.19608565,0.07397461,0.08454239,0.0,0.19608564674854279
31,0,0,0.1970769,0.07443577,0.08506942,0.0,0.19707690179347992
32,0,0,0.19828674,0.07499957,0.085713744,0.0,0.1982867419719696
