model,sb,day,time,trial,nEntropy,nnmp,vacuity,dissonance,overall
ecnn0,1,1,AM,1,0.2089097387644108,0.2579174351588265,,,0.21767403523918613
ecnn0,1,1,AM,2,0.12635666198820306,0.25494119509040786,,,0.1559503699574271
ecnn0,1,1,AM,3,0.5149810703228968,0.4762865464197375,,,0.5118409723971874
ecnn0,1,1,AM,4,0.13974558337381415,0.2209390599800337,,,0.16063896745576536
ecnn0,1,1,AM,5,0.1823201740950504,0.2543457440704016,,,0.1850327976569452
ecnn0,1,1,AM,6,0.1109358287966748,0.1899870607577714,,,0.1292492566360881
ecnn0,1,1,AM,7,0.25943168560497243,0.5025977561126881,,,0.3263178760417221
ecnn0,1,1,AM,8,0.20126870693795307,0.3344328062114332,,,0.21936901169472367
ecnn0,1,1,AM,9,0.5004303778207108,0.4957166050494624,,,0.5023686857679389
ecnn0,1,1,AM,10,0.13616148312885562,0.250161475367327,,,0.1472045461842586
ecnn0,1,1,AM,11,0.15386065371125354,0.30400164378157385,,,0.1841678928179853
ecnn0,1,1,AM,12,0.3388213722439517,0.3860246609973323,,,0.3760150798956349
ecnn0,1,1,PM,1,0.3300926052202237,0.4141837754285065,,,0.4003301552718199
ecnn0,1,1,PM,2,0.2992236809897349,0.3947346337757481,,,0.3507267122435222
ecnn0,1,1,PM,3,0.513972977273475,0.4910755500214522,,,0.5120114858272774
ecnn0,1,1,PM,4,0.11109840109921827,0.4403961279751811,,,0.2642999636596447
ecnn0,1,1,PM,5,0.19308399845205645,0.3258728753642321,,,0.2642895856983117
ecnn0,1,1,PM,6,0.1696623875014856,0.2782093096082504,,,0.2272710103840743
ecnn0,1,1,PM,7,0.4921271812903107,0.5071798575573098,,,0.5099072464017093
ecnn0,1,1,PM,8,0.26048193363435,0.4353472314576221,,,0.3371524905858233
ecnn0,1,1,PM,9,0.5319713666073137,0.5284510845428693,,,0.530067002530307
ecnn0,1,1,PM,10,0.2329799259383542,0.32989831520111385,,,0.2901529377775209
ecnn0,1,1,PM,11,0.15730797982650244,0.3241460520803,,,0.22349312059083995
ecnn0,1,1,PM,12,0.1861762686766492,0.2749855097758637,,,0.2353779734853212
ecnn0,1,2,AM,1,0.5729045193902413,0.5489614761529887,,,0.5636327833885039
ecnn0,1,2,AM,2,0.4887255616134181,0.4722332239540907,,,0.4883909528778061
ecnn0,1,2,AM,3,0.5056877563796786,0.5079445585743532,,,0.5029308800478669
ecnn0,1,2,AM,4,0.5314404344181998,0.5387405295409401,,,0.533663826320856
ecnn0,1,2,AM,5,0.5530017046907115,0.5458171681363457,,,0.5508157434325381
ecnn0,1,2,AM,6,0.5094074068818889,0.4941680546581071,,,0.5119742150559536
ecnn0,1,2,AM,7,0.5469902479226806,0.5203805925208153,,,0.5360723767628905
ecnn0,1,2,AM,8,0.5854739973443229,0.5616236860854217,,,0.5804547110663599
ecnn0,1,2,AM,9,0.6033309045760713,0.5689990761903364,,,0.5926134691387412
