edl_used,tcn_used,sb_n,day_n,time_n,acc,data_path,trial_n
0,True,1,1,1,0.6177573989162151,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,1,2,0.6267962806424345,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,2,1,0.5131904369332234,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,2,2,0.525206611570248,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,3,1,0.525,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,3,2,0.3645383951682485,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,4,1,0.4874266554903604,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,4,2,0.4546994072819644,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,5,1,0.3961253091508656,/../../hy-tmp/Data6/Processed/,12.0
0,True,1,5,2,0.4475583864118896,/../../hy-tmp/Data6/Processed/,12.0
