model,sb,day,time,trial,stability
ecnn0,1,1,AM,1,0.9807767752059632
ecnn0,1,1,AM,2,0.9895397489539748
ecnn0,1,1,AM,3,0.8488232947746309
ecnn0,1,1,AM,4,0.9916839916839916
ecnn0,1,1,AM,5,0.9876395534290272
ecnn0,1,1,AM,6,0.9898175647008908
ecnn0,1,1,AM,7,0.9885480572597136
ecnn0,1,1,AM,8,0.9932318104906938
ecnn0,1,1,AM,9,0.88529291274068
ecnn0,1,1,AM,10,0.986514098896608
ecnn0,1,1,AM,11,0.9899598393574296
ecnn0,1,1,AM,12,0.9916597164303588
ecnn0,1,1,PM,1,0.9811764705882352
ecnn0,1,1,PM,2,0.981589958158996
ecnn0,1,1,PM,3,0.8569753810082064
ecnn0,1,1,PM,4,0.9884297520661156
ecnn0,1,1,PM,5,0.9808612440191388
ecnn0,1,1,PM,6,0.9913828477636438
ecnn0,1,1,PM,7,0.9832402234636872
ecnn0,1,1,PM,8,0.987871183605186
ecnn0,1,1,PM,9,0.8720095693779905
ecnn0,1,1,PM,10,0.982033483054308
ecnn0,1,1,PM,11,0.9863618130766144
ecnn0,1,1,PM,12,0.9906976744186048
ecnn0,1,2,AM,1,0.8338748984565394
ecnn0,1,2,AM,2,0.8375104427736006
ecnn0,1,2,AM,3,0.8477034649476229
ecnn0,1,2,AM,4,0.8192371475953566
ecnn0,1,2,AM,5,0.8418699186991869
ecnn0,1,2,AM,6,0.8386694386694387
ecnn0,1,2,AM,7,0.8546395858223815
ecnn0,1,2,AM,8,0.8291270169631775
ecnn0,1,2,AM,9,0.8572567783094098
ecnn0,1,2,AM,10,0.7969413763806288
ecnn0,1,2,AM,11,0.8327345309381238
ecnn0,1,2,AM,12,0.828041237113402
ecnn0,1,2,PM,1,0.8045325779036827
ecnn0,1,2,PM,2,0.8300708038317368
ecnn0,1,2,PM,3,0.8208232445520581
ecnn0,1,2,PM,4,0.8229942100909843
ecnn0,1,2,PM,5,0.8211514904042466
ecnn0,1,2,PM,6,0.8404390037990713
