window,actual,predict,entropy,un_prob,vacuity,dissonance,overall
1,0,0,0.40163893,0.18392211,0.21019667,1.2931293722752748e-18,0.401638925075531
2,0,0,0.36175326,0.1603412,0.18324709,1.429667001424023e-18,0.3617532551288605
3,0,0,0.36128694,0.16007203,0.18293947,5.932124836656518e-22,0.3612869381904602
4,0,0,0.38862696,0.17610699,0.20126516,2.043574158328114e-18,0.38862696290016174
5,0,0,0.28684232,0.11899513,0.13599443,2.853679178732961e-25,0.28684231638908386
6,0,0,0.2623233,0.106282055,0.121465206,1.6547552073458672e-25,0.2623232901096344
7,0,0,0.3297675,0.14222318,0.1625408,1.5469247056233725e-20,0.32976749539375305
8,0,0,0.31207192,0.13249755,0.15142578,9.708372922763096e-21,0.31207191944122314
9,0,0,0.30553946,0.12896049,0.14738345,5.004041940042853e-19,0.30553945899009705
10,0,0,0.26654753,0.10844356,0.12393552,5.243597425720047e-21,0.2665475308895111
11,0,0,0.2960675,0.12388277,0.14158034,5.3473656129398146e-20,0.2960675060749054
12,0,0,0.22619158,0.08828634,0.10089868,3.945326073954164e-28,0.22619158029556274
13,0,0,0.22536667,0.08788586,0.10044098,8.461349905361003e-28,0.22536666691303253
14,0,0,0.22688632,0.088624,0.10128456,8.436584119185533e-28,0.2268863171339035
15,0,0,0.21874619,0.084688544,0.096786916,2.7336641161563615e-29,0.21874618530273438
16,0,0,0.2022717,0.076863825,0.08784437,5.062086908571819e-29,0.2022716999053955
17,0,0,0.19840956,0.07505685,0.08577925,1.9251827113623506e-29,0.1984095573425293
18,0,0,0.18681777,0.069696605,0.07965326,9.436082693090461e-32,0.18681776523590088
19,0,0,0.19922502,0.075437486,0.086214304,1.8625132403291274e-29,0.1992250233888626
20,0,0,0.19635956,0.074101985,0.08468801,5.034230069212768e-30,0.1963595598936081
21,0,0,0.19918862,0.0754205,0.08619487,1.0842358840440157e-29,0.19918861985206604
22,0,0,0.20950139,0.0802744,0.09174222,2.3820667282189805e-28,0.20950138568878174
