window,actual,predict,entropy,un_prob,overall
1,0,0,0.5125043,0.51059365,0.5125043
2,0,0,0.11903733,0.06125045,0.11903733
3,0,0,0.36585352,0.36233371,0.36585352
4,0,0,0.2899833,0.16750365,0.2899833
5,0,1,0.37290412,0.28366578,0.37290412
6,0,1,0.63989305,0.64717966,0.64717966
7,0,0,0.22748576,0.12707406,0.22748576
8,0,0,0.3668555,0.25769484,0.3668555
9,0,0,0.111529596,0.04510039,0.111529596
10,0,0,0.13803662,0.06580061,0.13803662
11,0,0,0.110346876,0.047105372,0.110346876
12,0,0,0.18743569,0.09018469,0.18743569
13,0,0,0.40440324,0.3009535,0.40440324
14,0,0,0.32725638,0.22114688,0.32725638
15,0,0,0.19721118,0.10113329,0.19721118
16,0,0,0.25556374,0.14656693,0.25556374
17,0,1,0.3813987,0.4250067,0.4250067
18,0,0,0.3338841,0.26507926,0.3338841
19,0,0,0.082431026,0.033183694,0.082431026
20,0,0,0.07466333,0.0331496,0.07466333
21,0,0,0.027034257,0.009235382,0.027034257
22,0,0,0.022250216,0.0068600774,0.022250216
23,0,0,0.007162866,0.0017810464,0.007162866
24,0,0,0.015142589,0.0043489337,0.015142589
25,0,0,0.016581984,0.005351603,0.016581984
26,0,0,0.0006383765,0.00012385845,0.0006383765
27,0,0,0.0035439422,0.00082165,0.0035439422
28,0,0,0.0010519278,0.00020843744,0.0010519278
29,0,0,0.0068711205,0.0017855167,0.0068711205
30,0,0,0.005376669,0.0013312101,0.005376669
31,0,0,0.009450893,0.0027037263,0.009450893
32,0,0,0.0011799025,0.00025719404,0.0011799025
33,0,0,0.010749879,0.0031496882,0.010749879
34,0,0,0.03002458,0.0111810565,0.03002458
35,0,0,0.018287266,0.006192267,0.018287266
36,0,0,0.004747644,0.0012825727,0.004747644
37,0,0,0.011125721,0.0033813715,0.011125721
38,0,0,0.008311943,0.002440095,0.008311943
39,0,0,0.0419858,0.016519248,0.0419858
40,0,0,0.057433113,0.024807155,0.057433113
41,0,0,0.035540234,0.013020873,0.035540234
42,0,0,0.098771594,0.049523532,0.098771594
43,0,0,0.015732247,0.005088508,0.015732247
44,0,0,0.029687073,0.009758413,0.029687073
45,0,0,0.009823454,0.0029292107,0.009823454
46,0,0,0.0065238187,0.001736939,0.0065238187
47,0,0,0.0036152098,0.00089269876,0.0036152098
48,0,0,0.002604893,0.00057828426,0.002604893
49,0,0,0.017957136,0.0057417154,0.017957136
50,0,0,0.011488467,0.0033821464,0.011488467
51,0,0,0.020834476,0.006660402,0.020834476
52,0,0,0.13800101,0.07332325,0.13800101
53,0,0,0.011636611,0.0032464862,0.011636611
54,0,0,0.13156515,0.06174171,0.13156515
55,0,0,0.20123053,0.1312961,0.20123053
56,0,0,0.075974226,0.034162223,0.075974226
57,0,0,0.11415685,0.062556505,0.11415685
58,0,0,0.14629492,0.089478195,0.14629492
59,0,0,0.16377239,0.10605693,0.16377239
60,0,0,0.015038231,0.0049215555,0.015038231
61,0,0,0.021334914,0.007455826,0.021334914
62,0,0,0.0041482872,0.0010823011,0.0041482872
63,0,0,0.0008226281,0.00017303228,0.0008226281
64,0,0,0.0016731215,0.0003837347,0.0016731215
65,0,0,0.0018940318,0.00044101477,0.0018940318
66,0,0,0.00054066605,0.00010120869,0.00054066605
67,0,0,0.0020850685,0.0004593134,0.0020850685
68,0,0,0.0016770938,0.00035655499,0.0016770938
69,0,0,0.0080272015,0.002093196,0.0080272015
70,0,0,0.0043601063,0.0010322332,0.0043601063
71,0,0,0.0011970379,0.00024062395,0.0011970379
72,0,0,0.0019809892,0.00043469667,0.0019809892
73,0,0,0.001121826,0.00022381544,0.001121826
74,0,0,0.0023765464,0.0005632043,0.0023765464
75,0,0,0.0014169642,0.0003017187,0.0014169642
76,0,0,0.00091494084,0.00019687414,0.00091494084
77,0,0,0.0029710685,0.000747025,0.0029710685
78,0,0,0.0022259625,0.0005375743,0.0022259625
79,0,0,0.012338985,0.0038459897,0.012338985
80,0,0,0.0017625905,0.00040787458,0.0017625905
81,0,0,0.00034372802,6.496906e-05,0.00034372802
82,0,0,0.02480152,0.008635879,0.02480152
83,0,0,0.0018203078,0.00040334463,0.0018203078
84,0,0,0.0029345995,0.00066262484,0.0029345995
85,0,0,0.00845277,0.0022739768,0.00845277
86,0,0,0.0088495575,0.002359867,0.0088495575
87,0,0,0.0037405256,0.0008624792,0.0037405256
88,0,0,0.009313516,0.0025823116,0.009313516
89,0,0,0.002662587,0.0005880594,0.002662587
90,0,0,0.038612604,0.014908373,0.038612604
91,0,0,0.0048168493,0.0011566877,0.0048168493
92,0,0,0.0032676694,0.0007789135,0.0032676694
93,0,0,0.0033329772,0.0007865429,0.0033329772
94,0,0,0.0043630856,0.0011219382,0.0043630856
95,0,0,0.0022445833,0.0004962683,0.0022445833
96,0,0,0.007818185,0.002131462,0.007818185
97,0,0,0.0043687783,0.0011129975,0.0043687783
98,0,0,0.009491441,0.0024398565,0.009491441
99,0,0,0.0057502864,0.0013405085,0.0057502864
100,0,0,0.012653113,0.0031232834,0.012653113
101,0,0,0.04568677,0.014665723,0.04568677
102,0,0,0.06989987,0.02377528,0.06989987
103,0,0,0.12017491,0.04752344,0.12017491
104,0,0,0.21483362,0.10299623,0.21483362
105,0,0,0.048872236,0.017172456,0.048872236
106,0,4,0.6672389,0.45195162,0.6672389
107,0,3,0.73180324,0.6424415,0.73180324
108,0,6,0.7907043,0.65230185,0.7907043
109,0,6,0.43591914,0.48782605,0.48782605
110,0,6,0.7149229,0.59217554,0.7149229
111,0,6,0.45742083,0.41486454,0.45742083
112,0,6,0.38483846,0.26898748,0.38483846
113,0,6,0.13330749,0.05180317,0.13330749
114,0,6,0.28298596,0.19867426,0.28298596
115,0,7,0.3737633,0.20051384,0.3737633
116,0,6,0.32357207,0.25572985,0.32357207
117,0,6,0.4890944,0.3713541,0.4890944
118,0,6,0.49452406,0.43474084,0.49452406
119,0,7,0.5852282,0.6162933,0.6162933
120,0,6,0.503155,0.45070988,0.503155
121,0,6,0.63115233,0.62322503,0.63115233
122,0,7,0.24852633,0.17022097,0.24852633
123,0,7,0.30715942,0.19284922,0.30715942
124,0,7,0.42307714,0.32079238,0.42307714
125,0,6,0.47548255,0.45980763,0.47548255
126,0,5,0.36823997,0.25067788,0.36823997
127,0,6,0.71298856,0.698147,0.71298856
128,0,7,0.1889889,0.09972435,0.1889889
129,0,7,0.11676312,0.054371417,0.11676312
130,0,7,0.25979632,0.14858627,0.25979632
131,0,7,0.2561423,0.17575628,0.2561423
132,0,7,0.38952616,0.38627774,0.38952616
133,0,7,0.25989702,0.15049541,0.25989702
134,0,0,0.0905283,0.04265821,0.0905283
135,0,0,0.044991154,0.01625514,0.044991154
136,0,0,0.0015732748,0.0003232956,0.0015732748
137,0,0,0.0006891981,0.0001295805,0.0006891981
138,0,0,0.0016430672,0.00034368038,0.0016430672
139,0,0,0.029717317,0.009610057,0.029717317
140,0,0,0.050275512,0.020511627,0.050275512
141,0,0,0.0021085576,0.00048696995,0.0021085576
142,0,0,0.0037515396,0.000844121,0.0037515396
143,0,0,0.0006023005,0.00011086464,0.0006023005
144,0,0,0.00022349216,3.707409e-05,0.00022349216
145,0,0,0.00030936196,5.4955482e-05,0.00030936196
146,0,0,0.00014480631,2.348423e-05,0.00014480631
147,0,0,0.00027493347,4.9352646e-05,0.00027493347
148,0,0,0.0003848737,6.687641e-05,0.0003848737
149,0,0,0.00037696288,6.771088e-05,0.00037696288
150,0,0,0.001664198,0.00033438206,0.001664198
151,0,0,0.000114089555,1.9192696e-05,0.000114089555
152,0,0,0.0004288838,7.7962875e-05,0.0004288838
153,0,0,0.00043019673,8.332729e-05,0.00043019673
154,0,0,0.0025464534,0.000623405,0.0025464534
155,0,0,0.0005974105,0.00012207031,0.0005974105
156,0,0,0.0038738004,0.0010105968,0.0038738004
157,0,0,0.0004128604,7.557869e-05,0.0004128604
158,0,0,0.0006948526,0.00014448166,0.0006948526
159,0,0,0.0007932199,0.0001693964,0.0007932199
160,0,0,0.00010053749,1.6570091e-05,0.00010053749
161,0,0,0.0012170274,0.0002555251,0.0012170274
162,0,0,0.0011201611,0.0002334714,0.0011201611
163,0,0,0.0006385512,0.00012862682,0.0006385512
164,0,0,0.000121112214,2.0384789e-05,0.000121112214
165,0,0,0.00037285368,7.164478e-05,0.00037285368
166,0,0,0.00082842127,0.00017553568,0.00082842127
167,0,0,0.0017178619,0.00040191412,0.0017178619
168,0,0,0.00063059194,0.00012671947,0.00063059194
169,0,0,0.0028924413,0.0007021427,0.0028924413
170,0,0,0.001729982,0.00039690733,0.001729982
171,0,0,0.0028704405,0.0007200837,0.0028704405
172,0,0,0.004025885,0.0010005832,0.004025885
173,0,0,0.05885352,0.026372194,0.05885352
174,0,0,0.011632356,0.0036126375,0.011632356
175,0,0,0.029558845,0.010648429,0.029558845
176,0,0,0.005148298,0.0013788939,0.005148298
177,0,0,0.0027667743,0.0006713867,0.0027667743
178,0,0,0.0035142584,0.00089895725,0.0035142584
179,0,0,0.0011572813,0.00025600195,0.0011572813
180,0,0,0.0022799638,0.00053578615,0.0022799638
181,0,0,0.0051162974,0.0013873577,0.0051162974
182,0,0,0.0026435864,0.0006380677,0.0026435864
183,0,0,0.0021478662,0.00050997734,0.0021478662
184,0,0,0.00435803,0.0011121631,0.00435803
185,0,0,0.001429254,0.00030314922,0.001429254
186,0,0,0.004470305,0.0010927916,0.004470305
187,0,0,0.004583417,0.0011808276,0.004583417
188,0,0,0.0035985785,0.00089788437,0.0035985785
189,0,0,0.00097546284,0.00020855665,0.00097546284
190,0,0,0.0004715322,8.9764595e-05,0.0004715322
191,0,0,0.0027237576,0.0006657243,0.0027237576
192,0,0,0.0010158505,0.00022178888,0.0010158505
193,0,0,0.0026067588,0.00063604116,0.0026067588
194,0,0,0.001495576,0.0003437996,0.001495576
195,0,0,0.004474186,0.0011793971,0.004474186
196,0,0,0.0029619865,0.00074857473,0.0029619865
197,0,0,0.0023835625,0.0005468726,0.0023835625
198,0,0,0.004471058,0.0011765361,0.004471058
199,0,0,0.00306286,0.0007387996,0.00306286
200,0,0,0.0025844916,0.00059723854,0.0025844916
201,0,0,0.0030559974,0.0007228255,0.0030559974
202,0,0,0.036378313,0.013869941,0.036378313
203,0,0,0.0054170247,0.0014170408,0.0054170247
204,0,0,0.010627767,0.0032061934,0.010627767
205,0,0,0.0020665075,0.0004925728,0.0020665075
206,0,0,0.016843634,0.005637288,0.016843634
207,0,0,0.0038435203,0.00100559,0.0038435203
208,0,0,0.017024659,0.0056857467,0.017024659
209,0,0,0.011631734,0.0036321878,0.011631734
210,0,0,0.03181106,0.012179315,0.03181106
211,0,0,0.006338678,0.001770556,0.006338678
212,0,0,0.017599575,0.005860448,0.017599575
213,0,0,0.008150451,0.0023307204,0.008150451
214,0,0,0.017266521,0.005364597,0.017266521
215,0,0,0.014327657,0.0043064356,0.014327657
216,0,0,0.07625623,0.035307944,0.07625623
217,0,0,0.0070185415,0.0018984675,0.0070185415
218,0,0,0.038018756,0.014570355,0.038018756
219,0,0,0.06419433,0.029468536,0.06419433
220,0,0,0.06847857,0.031674445,0.06847857
