window,actual,predict,entropy,un_prob,overall
1,0,0,0.1437254,0.062259734,0.1437254
2,0,0,0.65286,0.44444168,0.65286
3,0,0,0.5513995,0.33416533,0.5513995
4,0,0,0.15130554,0.062202692,0.15130554
5,0,0,0.11978531,0.043162882,0.11978531
6,0,0,0.118622884,0.045548975,0.118622884
7,0,0,0.40212652,0.25060093,0.40212652
8,0,0,0.08353011,0.03329277,0.08353011
9,0,0,0.049473763,0.018250823,0.049473763
10,0,0,0.048067443,0.018049717,0.048067443
11,0,0,0.059254706,0.023017645,0.059254706
12,0,0,0.103563234,0.04758644,0.103563234
13,0,0,0.057299245,0.023314297,0.057299245
14,0,0,0.042599708,0.0161739,0.042599708
15,0,0,0.036878828,0.01348573,0.036878828
16,0,0,0.029398598,0.010453641,0.029398598
17,0,0,0.038797144,0.014591873,0.038797144
18,0,0,0.058704812,0.023474514,0.058704812
19,0,0,0.0328294,0.011461198,0.0328294
20,0,0,0.05767207,0.022733092,0.05767207
21,0,0,0.022302514,0.007378459,0.022302514
22,0,0,0.021239564,0.0070032477,0.021239564
23,0,0,0.04230903,0.015429437,0.04230903
24,0,0,0.2622473,0.16280723,0.2622473
25,0,0,0.0618139,0.025651097,0.0618139
26,0,0,0.10299727,0.048385978,0.10299727
27,0,0,0.073786445,0.031486988,0.073786445
28,0,0,0.1694693,0.091184616,0.1694693
29,0,0,0.05756774,0.021774888,0.05756774
30,0,0,0.053599067,0.02069652,0.053599067
31,0,0,0.035939164,0.012874186,0.035939164
32,0,0,0.041812334,0.015652776,0.041812334
33,0,0,0.022964189,0.007516563,0.022964189
34,0,0,0.017832967,0.005627632,0.017832967
35,0,0,0.026183253,0.008624852,0.026183253
36,0,0,0.054139692,0.021174967,0.054139692
37,0,0,0.040729586,0.015095592,0.040729586
38,0,0,0.044194583,0.016496062,0.044194583
39,0,0,0.029657202,0.010484815,0.029657202
40,0,0,0.034007426,0.012049258,0.034007426
41,0,0,0.037762474,0.013589323,0.037762474
42,0,0,0.18435934,0.09344685,0.18435934
43,0,0,0.06558286,0.025223732,0.06558286
44,0,0,0.036292925,0.012563705,0.036292925
45,0,0,0.042470794,0.015763998,0.042470794
46,0,0,0.03291827,0.011639595,0.03291827
47,0,0,0.027636446,0.009331167,0.027636446
48,0,0,0.024495328,0.008063555,0.024495328
49,0,0,0.023955137,0.007918239,0.023955137
50,0,0,0.020971304,0.0068761706,0.020971304
51,0,0,0.024400136,0.008225322,0.024400136
52,0,0,0.04763444,0.018457115,0.04763444
53,0,0,0.018220302,0.005850315,0.018220302
54,0,0,0.06358843,0.025337875,0.06358843
55,0,0,0.030192569,0.010293841,0.030192569
56,0,0,0.048838608,0.018222213,0.048838608
57,0,0,0.03810095,0.013838887,0.03810095
58,0,0,0.034226213,0.0121046305,0.034226213
59,0,0,0.027287858,0.009253979,0.027287858
60,0,0,0.035026792,0.01242733,0.035026792
61,0,0,0.025999326,0.008518219,0.025999326
62,0,0,0.021228958,0.006919205,0.021228958
63,0,0,0.014779819,0.004589021,0.014779819
64,0,0,0.020873317,0.0068382025,0.020873317
65,0,0,0.03941207,0.014290094,0.03941207
66,0,0,0.024600754,0.00794369,0.024600754
67,0,0,0.02229267,0.007153094,0.02229267
68,0,0,0.022608789,0.0073658824,0.022608789
69,0,0,0.032853615,0.01146698,0.032853615
70,0,0,0.05528082,0.02179873,0.05528082
71,0,0,0.040111907,0.014974773,0.040111907
72,0,0,0.039955992,0.014700651,0.039955992
73,0,0,0.03127433,0.010895729,0.03127433
74,0,0,0.022894971,0.0076195,0.022894971
75,0,0,0.024133202,0.008204997,0.024133202
76,0,0,0.0294642,0.010161281,0.0294642
77,0,0,0.023705482,0.007822931,0.023705482
78,0,0,0.023087565,0.007633865,0.023087565
79,0,0,0.026088407,0.008664429,0.026088407
80,0,0,0.01748465,0.005491674,0.01748465
81,0,0,0.020527016,0.0067315698,0.020527016
82,0,0,0.017470973,0.0054703355,0.017470973
83,0,0,0.0346555,0.012447834,0.0346555
84,0,0,0.02890962,0.0099684,0.02890962
85,0,0,0.019464746,0.006175995,0.019464746
86,0,0,0.023475729,0.0074419975,0.023475729
87,0,0,0.01833472,0.005710721,0.01833472
88,0,0,0.01901862,0.005898416,0.01901862
89,0,0,0.016095757,0.0050598383,0.016095757
90,0,0,0.026174188,0.009003043,0.026174188
91,0,0,0.024770327,0.008363962,0.024770327
92,0,0,0.03750056,0.013675392,0.03750056
93,0,0,0.047313422,0.01793623,0.047313422
94,0,0,0.038312104,0.014366925,0.038312104
95,0,0,0.03441235,0.012661934,0.03441235
96,0,0,0.023109913,0.007819772,0.023109913
97,0,0,0.032308094,0.011641145,0.032308094
98,0,0,0.03330173,0.012082756,0.03330173
