window,actual,predict,entropy,un_prob,vacuity,dissonance,overall
1,0,0,0.34740353,0.15212673,0.17385799,1.997931056926853e-06,0.34740352630615234
2,0,0,0.30739853,0.12996417,0.14852989,1.0450829282052402e-06,0.3073985278606415
3,0,0,0.30449232,0.12839621,0.146738,9.458575723942385e-07,0.304492324590683
4,0,0,0.4317194,0.20245177,0.23137152,3.3124860212226283e-06,0.4317193925380707
5,0,0,0.5203607,0.26102573,0.29830837,1.1175381662748368e-05,0.5203607082366943
6,0,0,0.60764164,0.32520688,0.37155986,0.00015233449092271465,0.6076416373252869
7,0,0,0.6187119,0.3338734,0.38151777,5.9362003155348844e-05,0.6187118887901306
8,0,0,0.42638606,0.19911855,0.22756153,4.36706596299835e-06,0.4263860583305359
9,0,0,0.35135403,0.15437412,0.17642659,1.7472939648598101e-06,0.35135403275489807
10,0,0,0.30240375,0.12727284,0.14545417,9.463751633878196e-07,0.3024037480354309
11,0,0,0.30447054,0.12838447,0.14672458,9.462871489298259e-07,0.3044705390930176
12,0,0,0.30938953,0.1310417,0.14976132,1.0435441768728456e-06,0.30938953161239624
13,0,0,0.3023785,0.12725931,0.14543873,7.964711311487397e-07,0.30237850546836853
14,0,0,0.30257994,0.1273675,0.14556235,7.95980904901485e-07,0.30257993936538696
15,0,0,0.296157,0.123930454,0.1416344,6.980301734868515e-07,0.29615700244903564
16,0,0,0.2953158,0.123482406,0.14112234,6.973979428766511e-07,0.29531580209732056
17,0,0,0.33025053,0.14249164,0.1628468,1.2765263594183271e-06,0.3302505314350128
18,0,0,0.30582333,0.12911361,0.14755791,7.948687236355251e-07,0.30582332611083984
19,0,0,0.3425027,0.14935344,0.17068875,1.6586928730003464e-06,0.3425027132034302
20,0,0,0.31435332,0.13373959,0.15284395,2.2504108162482695e-06,0.3143533170223236
21,0,0,0.30426612,0.12827438,0.14659822,1.8617918211626384e-06,0.3042661249637604
22,0,0,0.3409552,0.14848119,0.1696896,5.554689022883766e-06,0.3409551978111267
23,0,0,0.30661663,0.12954181,0.14804542,4.033852529653736e-06,0.3066166341304779
24,0,0,0.31328538,0.13315773,0.15217763,4.62138139010081e-06,0.31328538060188293
25,0,0,0.31452525,0.13383329,0.15295064,2.9564096156642513e-06,0.3145252466201782
